lot,title,artist,medium,signage,size,sale_date,auction_house,auction_name
"62","The Old Gums","Harald Hansen Gallis Vike","Watercolour on paper","signed lower right","24.5 x 36.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"63","Collection from the Bush, Binalong Bay, Tasmania, 1990","Patricia Giles","Watercolour","signed lower left  dated verso.","43 x 54 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"64","Chickens and Roosters, 1991","Donald H. Green","Oil on canvas","signed and dated lower left","99 x 149 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"65","Rottnest Square, 1986","David Gregson","Watercolour and gouache on paper","signed  titled and dated lower right","60 x 80 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"66","The Courtyard, 1988","Jeremy Kirwan-Ward","Oil on canvas","signed and dated verso.","65 x 90 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"67","Untitled, Farm Scene","Douglas (Doug) Sealy","Oil on canvas on board","signed lower right","29 x 39 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"68","Old Stable, Coolup WA","Henry McLaughlin","Oil on canvas on board","signed lower left  titled lower right","23.5 x 28.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"69","Tropical, Frangipani and Apples, 1996","Kim Maple","Mixed media on paper","signed and dated lower right","65 x 89 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"70","Mating Season","Michael L. Leunig","Etching. edition 41/125","signed lower right  titled lower centre","31 x 22 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"71","Endangered Species","Albie Herberts","Painted cast resin","wood  metal and found objects.","height: 47 cms","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"72","Sunday's Best","Ron Van Gennip","Oil on canvas","signed lower left  titled verso.","74 x 58.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"73","Reflection WA, 1978","Henry McLaughlin","Oil on canvas","signed and dated lower left  titled lower right","49 x 75 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"74","Grape Pickers at Dusk, c.2,000","Murray Gill","Oil on canvas on board","signed lower left  titled verso.","29.5 x 39 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"75","Reclining Nude","William Boissevain","Mixed media on paper","signed lower right","48 x 72 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"76","Study, Bali","Donald Stuart Leslie Friend","Ink on paper on board","signed and inscribed ?Bali? upper right","17 x 12 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"77","Farm, Swan Valley","Margaret Benoit","Oil on board","signed lower right","37.5 x 48 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"78","Afternoon Calm, Terrigal Beach","Kenneth J. (Ken) Knight","Oil on board","signed lower right","26.5 x 39 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"79","Four Beach Scenes, 1991","Craig Boulter","Watercolour on paper","each signed and dated lower right (framed as one).","8.5 x 13 cm each","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"80","Nude Study, 2007","Simon Collins","Charcoal on paper","signed and dated lower right","72 x 52 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"81","Miner Smoking","Sidney Robert Nolan","Edition 22/70 Screenprint","signed lower right","76 x 76 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"82","Argula Spirit Figures, 2006","Kylie Bedford","Natural earth pigments on canvas","inscribed verso: [NM 1734]","93 x 116 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"83","Hunting Story, 2017","Yarwin Warun","Synthetic polymer paint on linen","inscribed verso: [Mimi Art Gallery stamp]  Alice Springs NT  artist's name  title  date and catalogue #12106  1153  6/M/1]","157 x 68 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"84","Bush Yam, 2005","Evelyn Pultara","Synthetic polymer paint on canvas","inscribed verso: [A5974  Evelyn Pultara 60 x 60  Muk Muk Aboriginal Art]","60 x 60 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"88","Untitled Landscape, Vignette in Blues and Yellows 2006","Billy Benn Perrurle","Synthetic polymer paint on wood panel","signed lower centre","9.5 x 18 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"89","Untitled, Waterholes near Mungai Hills, 2002","Willy Billabong","Synthetic polymer paint on canvas","inscribed verso: [Willy Billabong Y/02/110]. Provenance: Certificate of Authenticity Artplace  Perth 08/01/2003. Catalogue #Y02/110","75 x 75 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"90","Untitled – Wandjinas","Lucy Ward","Synthetic polymer paint on canvas","inscribed verso: [x Lucy Ward LW 2 facilitated by (illeg.) July 2003]","87 x 132 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"91","Untitled","Timothy Cook","Natural earth pigments on linen","inscribed verso: [Timothy Cook  Jilamara Arts and Crafts  Cat TC98MC160  3/98  TW 221]","82.5 x 51.5 cm. I","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"94","Untitled Landscape, MacDonnell Ranges, Yellow Foreground 2008","Billy Benn Perrurle","Synthetic polymer paint on wood panel","signed lower left","8 x 19.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"100","Water (Ngapa) 1997","Abie Jumbyinmba Tjangala","Synthetic polymer paint canvas","signed lower left  inscribed verso [COO-EE 37-39]","60.5 x 45.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"101","Kurrdurrung and Juminjung 1997","Peggy Griffiths","Natural ochre and pigments on canvas","inscribed verso [Peggy Griffiths CN634402 and Waringarri Arts stamp. Provenance: Certificate of Authenticity: Waringarri Arts Corporation","60 x 45 cm]","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"105","Untitled","Margaret Baragurra","Acrylic on paper","","57 x 76 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"106","Untitled, 1995","Susie Bootja Bootja Napaljarri","Synthetic polymer paint on linen","inscribed verso: [Artist's name  Warlayirti Artists Cat # 49/9]","100 x 50 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"107","Untitled, Four Birds","Peggy Napangardi Jones","Synthetic polymer paint on canvas","inscribed verso: [Peggy Jones AK5849]","56 x 57 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"108","Untitled, Two Goannas","Myra Lawson-Tjularta","Acrylic on canvas","signed lower right","162 x 145 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"114","The Grand Leicestershire Fox Hunt, The Death","After Samuel Henry Alken","Oil on copper","signed lower left  titled verso","37 x 52 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"115","Spring Lambing","Otto Theodore Leyde","Watercolour and bodycolour on paper","signed lower right","20.3 x 14.4 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"116","Roadside Inn Scene","European School","Oil on canvas","","49 x 64 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"117","Glenfinlas, c.1860; Untitled, Likely Study of Glenfinlas (2)","John McDonald","Watercolour on paper (both)","","20.5 x 25 cm; 20.5 x 23.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"118","Children Playing in a Meadow","Otto Theodore Leyde","Oil on canvas","signed lower right","24.5 x 34.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"119","Untitled, The Old Water Mill, 1848","Edwin Wilkins Field","Watercolour on paper","signed and dated lower right","25 x 47 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"120","The Miller's Tale l, 1972; The Miller's Tale ll (2)","Elisabeth Frink","Etching with Aquatint","Artist's Proof (both)  signed lower right  titled lower centre under image (both)","30 x 24.5 cm each","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"121","Untitled, Portrait of a Girl","Herbert Herold Coetzee","Oil on board","signed lower right (at side)","50 x 38 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"122","Untitled, Street Scene","European School","Watercolour on paper","","39 x 26 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"123","Untitled, Lady and Mirror; Untitled, Abstract with Fleur-de-lis (2)","C. Ryan","Mixed media on paper (both)","signed C. Ryan lower right (both)","59 x 50 cm each","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"124","Brangaene, c1952","Cecil Beaton","Watercolour and ink on paper","signed upper right  titled lower right","28 x 21 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"125","Tosca Act III, Original costume design","Cecil Beaton","watercolour and ink on paper","signed upper right  titled lower centre","27 x 17.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"126","Blue Mates #2, 2007","Thomas Scoon","Cast Glass and stone  on a wooden plinth with artist plaque","","hand signed on glass base","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"127","Forest Scene","French School","Oil on canvas","signed (illeg.)","24 x 34 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"128","Lake Maggiore, Italy","Frank Catano","Watercolour on paper","signed lower left","28 x 48 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"129","Untitled Battle Scene, Perhaps depiction of Franco-Spanish War","European School","Oil on linen","","39 x 58.5 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"130","The Churchyard, St Wilfred's Church, Barrow-Upon-Trent, Near Derby","David John Payne","Oil on canvas","signed lower right","34 x 29 cm","30-Jul-24","McKenzies Auctioneers","Art, Tribal, Collectables, Furniture. (Art lots only), McKenzies Auctioneers, Perth"
"1","Portrait of a Woman with a Vase of Flowers 1974","Dan Mazzotti","Oil on canvas","signed and dated lower right.","97 x 70 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"2","Valley Country - Sofala NSW","Douglas (Doug) Sealy","Oil on canvas","signed lower right  titled verso.","64 x 90 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"3","Landscape with Red Rooftop 1965","Harald Hansen Gallis Vike","Oil on board","signed lower right.","52 x 67 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"4","Swamp ll 1977","William Boissevain","Oil on board","signed and dated lower right  titled and dated verso.","90 x 120 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"5","Untitled - The Race Meeting, WA","William Allan Baker","Oil on board","signed lower left.","46 x 51 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"6","Untitled - Landscape 1995","David Gregson","Oil on canvas","signed and dated lower right.","83 x 100 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"7","The Farm Gate 1981","Kevin Charles (Pro) Hart","Oil on canvas on board","signed and dated lower centre.","60 x 50 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"8","Dog Roses 1986","William Boissevain","Oil on board","signed and dated lower right.","100 x 120 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"9","Textured Blue 1991","John Richard Cartwright","Oil on board","signed and dated lower right.","50 x 60 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"10","Break for the Dancer","William Boissevain","Oil wash and pastel on paper","signed lower right.","62 x 52 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"11","Insect with Ants","Kevin Charles (Pro) Hart","Oil on board","signed lower right  titled lower left","60 x 74 cm.","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"12","Collecting Emu Eggs","Elizabeth Durack","Watercolour and likely dyeline on paper","signed lower right.","47 x 36 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"13","Lilydale Road","Marie Louise Hobbs","Oil on card","","14 x 28 cm.","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"14","Nude - Back Study","Katherine Munro (Kath) Jarvis","Oil on board","signed lower right.","24 x 18.5 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"15","Baboon 1987","John Henry Olsen","Watercolour and pastel on paper","signed and dated lower right.","56 x 76 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"16","Fragmentation 1968","Audrey Edith Greenhalgh","Oil on board","signed and dated lower centre-left.","58 x 81 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"17","Still Life - Flowers in a Glass Vase","Ernest Buckmaster","Oil on canvas","signed indistinctly lower right.","69 x 54 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"18","Tanami Mapping C109 2011","Pippin Drysdale","Porcelain","signed","titled and dated at base Pippin Drysdale T.M. 2011 C109. 43 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"19","Carnival Fruit Series 1992","Pippin Drysdale","Porcelain  signed  titled and dated on base Pippin Drysdale '92 'Carnival Fruit Series'.","","titled and dated on base Pippin Drysdale '92 'Carnival Fruit Series'.","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"20","City Horizon: 8/8/03 2003","Andrew Browne","Oil on linen","signed titled and dated verso.","91 x 244 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"21","The Gully","Rene Collot D'Herbois","Ink drawing with watercolours","titled lower left and signed lower right within a cartouche.","35 x 26 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"22","River Flats, Mandurah 1921","Walter Paterson Meston","Oil on canvas","signed lower right.","40 x 55 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"23","Swan River, WA 1987","Greg Baker","Oil on board","signed and dated lower left.","18 x 29 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"24","Rottnest","Greg Baker","Oil on board","signed and dated lower left.","12 x 22.5 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"25","Liza, Double Portrait 1989","George Haynes","Oil on canvas on board","signed lower right  inscribed verso George Haynes '89}  titled and with catalogue number 64.","122 x 135 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"26","Arkaroola, Copper Creek, WA 1976","Harald Hansen Gallis Vike","Oil on canvas on board","signed lower right  titled and dated lower left.","43 x 58.5 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"27","Ducks and Tulips","Murray Gill","Mixed media on paper","signed lower right.","32 x 41.5 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"28","Peace and Quiet, Kimberleys","Bruce Malloch","Oil on board","signed lower right.","24 x 37.5 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"29","Untitled - Spiral Form c1998","Howard Hamilton Taylor","Pastel on paper","","34 x 27.5 cm.","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"30","The Beach Umbrella","Elizabeth Blair Barber","Oil on canvas on board","signed lower left.","18 x 23.5 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"31","The Stone Bridge 1976","Frank Pash","Oil on board","signed and dated lower left.","49 x 59 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"32","Sunday Walkabout 1948","Elizabeth Durack","Watercolour and pencil","signed and dated lower right  titled lower centre.  70 x 51 cm. With another artwork verso","inscribed Little Flo","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"33","The Flower Shop","Leon Pericles","Etching","hand colouring and collage  A/P  signed lower right  titled lower centre.","64 x 53 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"34","Gauguin at Widji","Leon Pericles","Etching","aquatint  hand colouring and collage  edition 83/98  signed lower right  titled lower centre.","66 x 21 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"35","Steamer at Sunset, Swan River Scene","Daisy Rossi","Watercolour on paper","signed lower right.","16 x 22 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"36","Hay Bales, Yallingup","Douglas Kirsop","Watercolour and body colour.","","22.5 x 54 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"37","Apres Le Vendange","Margaret Benoit","Oil on board","signed lower right  titled verso.","33 x 49 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"38","Stockman","William Boissevain","Oil on board","signed lower right.","47 x 51.5 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"39","Coastal Scene","Harald Hansen Gallis Vike","Oil on board","signed lower left.","49 x 58.5 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"40","Pink Camellias","Diana Johnston","Oil on board","signed lower right.","90 x 120 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"41","Augusta 1963","Portia Mary Bennett","Pencil on paper","signed lower right  titled and dated lower left and titled verso.","13 x 17 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"42","Storm, Water Channel 1951","Lionel Hornabrook Jago","Oil on board","signed and dated lower left.","46.5 x 48.5 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"43","Shell Shed, Streeters Jetty, Broome Circa early 1980s.","Elizabeth Durack","Ink  wash and pencil on paper","signed lower right.","56 x 43 cm.","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"44","Roses","Joseph Zago","Acrylic on paper","signed lower right.","50 x 62 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"45","Untitled - Oriental Still Life","Elizabeth Blair Barber","Oil on canvas","signed lower right.","60 x 44 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"46","Untitled Market Scene","Cedric Baxter","Mixed media on paper","signed lower right.","54 x 38 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"47","High Tide, Low Tide; A Vayleen Burger with a Wandjina to Go (2)","Leon Pericles","Etching and hand colouring","edition 28/99; etching  aquatint and hand colouring  edition 26/99  both signed lower left","titled lower centre.","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"48","Moonlight Study - Marshland W. Albany, WA","John Barker","Watercolour on paper","signed lower right  titled and signed on label verso.","14 x 15.5 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"49","Team Training","Murray Gill","Watercolour on paper","signed lower left.","54 x 73 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"50","Gaggle of Geese","Murray Gill","Mixed media on paper","signed lower left.","54 x 73 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"51","Sunrise, Yallingup - Looking Toward Geographe Bay","Douglas Kirsop","Watercolour on paper","signed lower right.","53 x 72 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"52","Untitled - Abstract Seascape 2004","Richard Swinhoe","Mixed media on paper","signed and dated lower right.","54 x 73 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"53","Four etchings (4)","William Boissevain","Etchings","","Etchings","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"54","The Old Jail, Albany","Romola Clifton","Watercolour on paper","signed lower left.","24 x 35 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"55","Gold from Paddy Hannan to Now 1987","Frank Pash","Oil on board","signed lower right.","58 x 91.5 cm.","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"56","In the Hush of the Afternoon","Elizabeth Durack","Watercolour and body colour on paper","signed lower left  titled verso.","56 x 44 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"57","Landscape ll","Douglas (Doug) Sealy","Oil on canvas","signed lower right.","45 x 55 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"58","Splendid Everlasting","Leon Pericles","Etching and hand colouring","A/P  signed lower left  titled lower centre.","16.5 x 18 cm (plate)","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
"59","A Vine Romance","Leon Pericles","Etching edition 75/99","hand-coloured with collage  signed lower right  titled lower centre.","76 x 48 cm","05-Jun-24","McKenzies Auctioneers","Art, Aboriginal/Tribal, Books, Furniture, Rugs. (Art lots only), McKenzies Auctioneers, Perth"
